libelle_region,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Île-de-France,133460230.53,151751690.15,155164922.6,133325702.69,138946264.46,148149910.79,141457684.48,138904618.8854422,137431372.9883298,128928030.96370968,139800857.5447897
Hauts-de-France,101558051.62,115492126.42,115433718.83,102085517.53,107220241.41,114965422.22,118314221.32000001,114650890.79682846,115076517.46580794,109234227.9479512,115188059.1152706
Auvergne-Rhône-Alpes,96603697.127,114161311.79800001,114100608.047,103955333.34,111722227.51,114892547.218,114370353.29,109703896.45492816,110883083.79681604,105508736.5680249,112542261.0113268
Grand Est,88830516.4,99155136.65,109737274.41,97708666.1,106586969.85000001,116685494.26,119555102.44,112015190.16736257,114358003.32963352,104243311.18804371,113873136.62616701
Provence-Alpes-Côte d'Azur,65705069.53,70520196.12,70228184.86,63966196.36,69982908.82,79594799.49,80120507.71,73500140.75502871,79407815.7038762,76080526.5527182,74772795.1979787
Normandie,64099102.589999996,68053196.31,72240266.59,67106456.0,69574063.78,70245457.21,69941410.08,72302632.9773549,69189205.42611283,65839764.13066557,64959871.883084066
Nouvelle-Aquitaine,55627685.839999996,63482017.9,63974857.86,58794169.51,65509932.68,66572915.82,66765509.03,66577665.75967184,65632071.98261262,62488057.76106694,66745718.662269466
Occitanie,55284107.080000006,60745054.56,61148810.5,59239476.36,53514818.0,54015866.339999996,54359622.84,54174468.26962108,53279264.33001094,51140331.480241925,54090117.76495811
Pays de la Loire,44361566.12,47145155.78,48130441.17,42832695.93,45097283.64,48340413.6,48267993.41,46254678.585587464,48878802.08333242,45906208.73908555,47705467.45700783
Bourgogne-Franche-Comté,36396621.82,40964136.48,41452556.65,36843967.69,38387760.49,40154951.36,39656322.04,38783375.794325635,38604738.90517174,36273640.39456472,39528541.075694904
Bretagne,33354363.62,36369483.31,37041543.92,34530072.95,35401829.04,37135810.49,36916112.03,37385834.081432,37314258.35887535,36370749.06461269,38968466.17161309
Centre-Val de Loire,31079627.33,34294883.730000004,34736181.3,30966683.77,33078622.53,34546219.57,34059890.79,33475460.85632197,32518716.739355568,30372279.42810104,32241921.33048768
