Country,Total Population
India,1428627663
China,1425671352
Indonesia,277534123
Pakistan,240485658
Bangladesh,172954319
Japan,123294513
Philippines,117337368
Vietnam,98858950
Iran,89172767
Turkey,85816199
Thailand,71801279
Myanmar,54577997
South Korea,51784059
Iraq,45504560
Afghanistan,42239854
Russia,144444359
Saudi Arabia,36947025
Uzbekistan,35163944
Yemen,34449825
Malaysia,34308525
Nepal,30896590
North Korea,26160822
Taiwan,23923277
Syria,23227014
Sri Lanka,21893579
Kazakhstan,19606634
Cambodia,16944826
Jordan,11337053
Tajikistan,10143543
Azerbaijan,10412652
UAE,9516871
Israel,9174520
Laos,7633779
Hong Kong,7491609
Kyrgyzstan,6735348
Turkmenistan,6516100
Singapore,6014723
Palestine,5371230
Lebanon,5353930
Oman,4644384
Kuwait,4310108
Georgia,3728282
Mongolia,3447157
Armenia,2777971
Qatar,2716391
Bahrain,1485510
East Timor,1360596
Cyprus,1260138
Bhutan,787425
Maldives,523787
Brunei,452524
