Country,Cancer
Austria,0.042921204356181936
Germany,0.07770034843205575
Sweden,0.05624201107797188
Netherlands,0.058091286307053944
Spain,0.045906294368196876
Italy,0.03432282003710575
France,0.05798864557988646
Denmark,0.04627487274409996
Greece,0.025537634408602152
Switzerland,0.05182443151771549
Belgium,0.06033182503770739
Israel,0.0784313725490196
Czech Republic,0.05627545353572751
Poland,0.07180980106744299
Luxembourg,0.09599156118143459
Hungary,0.04161248374512354
Slovenia,0.04499799116110888
Estonia,0.054575707154742095
Croatia,0.06694915254237288
Lithuania,0.07178043631245602
Bulgaria,0.030235162374020158
Cyprus,0.05223880597014925
Finland,0.10909090909090909
Latvia,0.02454780361757106
Malta,0.034912718204488775
Romania,0.02454473475851148
Slovakia,0.026449643947100712
