date,pop_var,flag
1952,1238290.0,False
1953,1135376.0,False
1954,1035879.0,False
1955,997262.0,False
1956,931279.0,False
1957,816105.0,False
1958,833630.0,False
1959,904690.0,False
1960,888854.0,False
1961,890619.0,False
1962,912425.0,False
1963,978829.0,False
1964,1072632.0,False
1965,1149402.0,False
1966,998161.0,False
1967,1060945.0,False
1968,1291427.0,False
1969,1282798.0,False
1970,1314762.0,False
1971,1372516.0,False
1972,1431049.0,False
1973,1459066.0,False
1974,1420553.0,False
1975,1311617.0,False
1976,1213225.0,False
1977,1136651.0,False
1978,1048009.0,False
1979,955984.0,False
1980,858687.0,False
1981,761527.0,False
1982,712419.0,False
1983,695610.0,False
1984,676975.0,False
1985,648304.0,False
1986,591274.0,False
1987,558580.0,False
1988,529417.0,False
1989,472346.0,False
1990,415673.0,False
1991,387672.0,False
1992,370700.0,False
1993,334883.0,False
1994,339693.0,False
1995,314700.0,False
1996,292254.0,False
1997,301762.0,False
1998,280405.0,False
1999,246673.0,False
2000,248798.0,False
2001,261870.0,False
2002,236019.0,False
2003,200602.0,False
2004,168936.0,False
2005,127085.0,False
2006,103794.0,False
2007,104259.0,False
2008,71207.0,False
2009,39409.0,False
2010,-11611.0,True
2011,-98174.0,False
2012,-153569.0,False
2013,-174764.0,False
2014,-202189.0,False
2015,-225802.0,False
2016,-257076.0,False
2017,-331385.0,False
2018,-406606.0,False
2019,-464189.0,False
2020,-546916.0,False
2021,-632231.0,False
2022,-660838.0,False
2023,-657179.0,False
2024,-663081.0,False
