household_waste_recycled_dry_perc,household_waste_recycled_green_perc,household_waste_not_recycled_perc_est,Display_name
21.0,12.0,67.0,BAR
19.0,9.0,72.0,BRN
21.0,13.0,66.0,BRT
19.0,8.0,73.0,CMD
34.0,14.0,52.0,ELG
19.0,15.0,66.0,ENF
18.0,8.0,74.0,HCK
23.0,2.0,75.0,HMS
19.0,8.0,73.0,HGY
15.0,15.0,70.0,HRW
21.0,15.0,64.0,HVG
19.0,18.0,63.0,HDN
22.0,14.0,64.0,HNS
21.0,7.0,72.0,ISL
22.0,9.0,69.0,LAM
21.0,5.0,74.0,NWM
20.0,11.0,69.0,RDB
26.0,15.0,59.0,RCH
20.0,3.0,77.0,KNS
22.0,11.0,67.0,WTH
21.0,2.0,77.0,WNS
25.0,19.0,56.0,BXL
24.0,24.0,52.0,BRM
23.0,7.0,70.0,CTY
22.0,15.0,63.0,CRD
17.0,13.0,70.0,GRN
15.0,8.0,77.0,LSH
29.0,14.0,57.0,MRT
28.0,19.0,53.0,KNG
24.0,8.0,68.0,SWR
23.0,20.0,57.0,STN
16.0,1.0,83.0,TOW
22.0,2.0,76.0,WST
